,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,399300.SZ,2016-01-04,3725.856,3726.245,3468.949,3469.066,3731.005,-261.939,-0.070206,115370674.0,145968206.095
1,399300.SZ,2016-01-05,3382.177,3518.217,3377.28,3478.78,3469.066,9.714,0.0028000000000000004,162116984.0,196017085.879
2,399300.SZ,2016-01-06,3482.406,3543.739,3468.467,3539.808,3478.78,61.028,0.017543,145966144.0,160947198.402
3,399300.SZ,2016-01-07,3481.15,3481.15,3284.737,3294.3839,3539.808,-245.4241,-0.069333,44102641.0,47130795.628
4,399300.SZ,2016-01-08,3371.871,3418.851,3237.931,3361.563,3294.384,67.179,0.020392,185959451.0,203498868.289
5,399300.SZ,2016-01-11,3303.125,3342.481,3192.45,3192.45,3361.563,-169.113,-0.050308,174638387.0,184464050.18
6,399300.SZ,2016-01-12,3214.823,3242.253,3174.55,3215.71,3192.45,23.26,0.007286,128225796.0,142048909.71
7,399300.SZ,2016-01-13,3240.484,3257.295,3155.879,3155.879,3215.71,-59.831,-0.018606,120666494.0,130886082.444
8,399300.SZ,2016-01-14,3076.645,3226.658,3072.039,3221.571,3155.879,65.692,0.020815999999999998,134537671.0,144771580.596
9,399300.SZ,2016-01-15,3200.888,3216.798,3101.052,3118.73,3221.571,-102.841,-0.031923,124601779.0,131882737.252
10,399300.SZ,2016-01-18,3068.235,3165.616,3066.727,3130.729,3118.73,11.999,0.0038469999999999997,101128386.0,109458287.764
11,399300.SZ,2016-01-19,3132.705,3227.908,3119.216,3223.125,3130.729,92.396,0.029512999999999998,127653893.0,142907686.296
12,399300.SZ,2016-01-20,3204.218,3225.95,3154.426,3174.378,3223.125,-48.747,-0.015124,130650504.0,143313337.192
13,399300.SZ,2016-01-21,3136.384,3202.538,3081.345,3081.345,3174.378,-93.033,-0.029307,111189733.0,121856195.433
14,399300.SZ,2016-01-22,3114.895,3132.171,3053.958,3113.463,3081.345,32.118,0.010423,89951087.0,96885673.842
15,399300.SZ,2016-01-25,3129.028,3149.332,3105.1,3128.886,3113.463,15.423,0.004954,81540061.0,85777891.364
16,399300.SZ,2016-01-26,3099.596,3106.53,2934.647,2940.509,3128.886,-188.377,-0.060206,126933921.0,127250652.518
17,399300.SZ,2016-01-27,2953.183,2963.544,2839.29,2930.352,2940.509,-10.157,-0.003454,132229366.0,126997670.778
18,399300.SZ,2016-01-28,2909.334,2941.887,2841.844,2853.756,2930.352,-76.596,-0.026139000000000003,99222756.0,95663874.927
19,399300.SZ,2016-01-29,2855.598,2965.309,2854.371,2946.09,2853.756,92.334,0.032355,113304259.0,109462356.68
20,399300.SZ,2016-02-01,2939.04,2944.517,2869.561,2901.048,2946.09,-45.042,-0.015288999999999999,86795342.0,82931453.498
21,399300.SZ,2016-02-02,2901.528,2972.426,2901.512,2961.334,2901.048,60.286,0.020781,88601963.0,88740230.428
22,399300.SZ,2016-02-03,2931.288,2954.71,2909.898,2948.639,2961.334,-12.695,-0.004287,77389000.0,74817092.259
23,399300.SZ,2016-02-04,2960.334,2999.206,2960.207,2984.76,2948.639,36.121,0.01225,91779724.0,91550346.872
24,399300.SZ,2016-02-05,2982.056,2988.36,2962.847,2963.789,2984.76,-20.971,-0.007026,76850808.0,77443222.334
25,399300.SZ,2016-02-15,2888.428,2961.493,2886.018,2946.707,2963.789,-17.082,-0.005764,72919434.0,71285049.141
26,399300.SZ,2016-02-16,2962.187,3042.089,2962.187,3037.035,2946.707,90.328,0.030654,112579643.0,112300492.317
27,399300.SZ,2016-02-17,3034.09,3065.785,3027.046,3063.32,3037.035,26.285,0.008655000000000001,128291607.0,122279340.234
28,399300.SZ,2016-02-18,3079.527,3093.513,3049.841,3053.699,3063.32,-9.621,-0.0031409999999999997,124401464.0,122618612.161
29,399300.SZ,2016-02-19,3047.942,3065.968,3032.634,3051.585,3053.699,-2.114,-0.000692,87338012.0,90849341.804
30,399300.SZ,2016-02-22,3083.933,3128.207,3071.329,3118.868,3051.585,67.283,0.022049,140946968.0,141684080.627
31,399300.SZ,2016-02-23,3117.203,3119.221,3061.429,3089.363,3118.868,-29.505,-0.00946,112567391.0,117476469.063
32,399300.SZ,2016-02-24,3077.606,3109.545,3055.251,3109.545,3089.363,20.182,0.006533,111782650.0,112918607.549
33,399300.SZ,2016-02-25,3104.41,3104.436,2905.457,2918.75,3109.545,-190.795,-0.061357999999999996,157829752.0,153493008.194
34,399300.SZ,2016-02-26,2942.095,2964.385,2902.948,2948.031,2918.75,29.281,0.010032000000000001,106949729.0,102531571.946
35,399300.SZ,2016-02-29,2939.58,2939.875,2821.215,2877.467,2948.031,-70.564,-0.023936000000000002,129341020.0,118440829.598
36,399300.SZ,2016-03-01,2881.335,2950.436,2863.323,2930.694,2877.467,53.227,0.018498,116045918.0,110491037.808
37,399300.SZ,2016-03-02,2933.921,3054.724,2933.116,3051.333,2930.694,120.639,0.041164,175972347.0,164025161.471
38,399300.SZ,2016-03-03,3050.389,3078.444,3040.246,3058.422,3051.333,7.089,0.002323,173105744.0,165509087.742
39,399300.SZ,2016-03-04,3047.537,3101.656,3032.424,3093.89,3058.422,35.468,0.011597,219172534.0,205520475.543
40,399300.SZ,2016-03-07,3108.999,3130.903,3083.584,3104.84,3093.89,10.95,0.003539,132462037.0,127790344.488
41,399300.SZ,2016-03-08,3100.149,3109.25,3001.829,3107.673,3104.84,2.833,0.000912,136235742.0,128758488.144
42,399300.SZ,2016-03-09,3045.924,3072.916,3020.134,3071.907,3107.673,-35.766,-0.011509,111466245.0,106298652.785
43,399300.SZ,2016-03-10,3056.21,3074.16,3012.691,3013.146,3071.907,-58.761,-0.019129,76072197.0,78180468.559
44,399300.SZ,2016-03-11,2990.214,3026.437,2982.172,3018.284,3013.146,5.138,0.0017050000000000001,73333564.0,74367296.548
45,399300.SZ,2016-03-14,3039.569,3106.8,3034.0,3065.69,3018.284,47.406,0.015706,117108655.0,123539094.703
46,399300.SZ,2016-03-15,3061.343,3077.085,3028.578,3074.78,3065.69,9.09,0.0029649999999999998,98311941.0,101302845.698
47,399300.SZ,2016-03-16,3068.866,3100.352,3064.521,3090.033,3074.78,15.253,0.004961,124736448.0,126128854.001
48,399300.SZ,2016-03-17,3096.808,3147.841,3077.572,3124.204,3090.033,34.171,0.011057999999999998,121661777.0,136603715.775
49,399300.SZ,2016-03-18,3136.223,3197.668,3130.102,3171.963,3124.204,47.759,0.015287,197302564.0,210017810.346
50,399300.SZ,2016-03-21,3203.293,3267.775,3198.361,3249.437,3171.963,77.474,0.024425,233269464.0,256836636.273
51,399300.SZ,2016-03-22,3231.615,3249.677,3218.728,3225.79,3249.437,-23.647,-0.0072770000000000005,161020897.0,194211982.989
52,399300.SZ,2016-03-23,3217.729,3242.247,3202.976,3236.092,3225.79,10.302,0.0031940000000000002,125679286.0,155567074.583
53,399300.SZ,2016-03-24,3211.496,3221.906,3181.813,3181.851,3236.092,-54.241,-0.016760999999999998,133131122.0,162436036.415
54,399300.SZ,2016-03-25,3176.81,3204.442,3174.318,3197.817,3181.851,15.966,0.005018,97395330.0,115195604.431
55,399300.SZ,2016-03-28,3206.953,3229.624,3161.878,3169.728,3197.817,-28.089,-0.008784,103441933.0,123844044.128
56,399300.SZ,2016-03-29,3171.314,3178.075,3122.761,3135.41,3169.728,-34.318,-0.010827,97294747.0,113844280.553
57,399300.SZ,2016-03-30,3161.289,3216.676,3161.289,3216.275,3135.41,80.865,0.025790999999999998,117802512.0,140721774.451
58,399300.SZ,2016-03-31,3229.2,3241.927,3208.665,3218.088,3216.275,1.813,0.0005639999999999999,121552074.0,147267617.416
59,399300.SZ,2016-04-01,3213.674,3222.612,3165.856,3221.895,3218.088,3.807,0.001183,118122139.0,127050098.456
60,399300.SZ,2016-04-05,3211.305,3271.93,3205.207,3264.486,3221.895,42.591,0.013219000000000002,146047772.0,159296543.667
61,399300.SZ,2016-04-06,3250.522,3267.64,3236.196,3257.528,3264.486,-6.958,-0.002131,120196305.0,137206268.587
62,399300.SZ,2016-04-07,3266.288,3270.82,3208.644,3209.29,3257.528,-48.238,-0.014807999999999998,112409467.0,128273067.72
63,399300.SZ,2016-04-08,3189.846,3197.774,3163.305,3185.726,3209.29,-23.564,-0.007342,101005625.0,113920716.519
64,399300.SZ,2016-04-11,3213.507,3251.572,3213.507,3230.096,3185.726,44.37,0.013928000000000001,125212709.0,142759491.34
65,399300.SZ,2016-04-12,3227.367,3232.264,3198.903,3218.45,3230.096,-11.646,-0.0036049999999999997,92869437.0,99086557.951
66,399300.SZ,2016-04-13,3237.858,3296.523,3237.858,3261.383,3218.45,42.933,0.013340000000000001,195613866.0,200159601.29
67,399300.SZ,2016-04-14,3277.098,3286.072,3252.05,3275.832,3261.383,14.449,0.00443,113157327.0,117989443.45
68,399300.SZ,2016-04-15,3279.857,3282.985,3261.73,3272.205,3275.832,-3.627,-0.0011070000000000001,99807529.0,107963982.334
69,399300.SZ,2016-04-18,3252.671,3252.671,3221.662,3228.453,3272.205,-43.752,-0.013371,97090069.0,103956150.095
70,399300.SZ,2016-04-19,3243.971,3250.725,3221.577,3238.303,3228.453,9.85,0.003051,80871440.0,90976236.261
71,399300.SZ,2016-04-20,3244.142,3248.422,3107.369,3181.026,3238.303,-57.277,-0.017686999999999998,162207858.0,172324694.469
72,399300.SZ,2016-04-21,3160.796,3198.557,3150.94,3160.603,3181.026,-20.423,-0.00642,104752651.0,110324379.038
73,399300.SZ,2016-04-22,3142.561,3175.38,3137.993,3174.901,3160.603,14.298,0.004524,77078492.0,82442921.903
74,399300.SZ,2016-04-25,3164.738,3172.269,3137.113,3162.033,3174.901,-12.868,-0.004053,67519351.0,74734848.036
75,399300.SZ,2016-04-26,3159.771,3181.095,3150.404,3179.161,3162.033,17.128,0.005417,59020734.0,68871554.173
76,399300.SZ,2016-04-27,3181.931,3188.826,3162.691,3165.916,3179.161,-13.245,-0.004166,60004147.0,70620405.995
77,399300.SZ,2016-04-28,3169.333,3174.766,3135.643,3160.581,3165.916,-5.335,-0.001685,69870660.0,78876767.222
78,399300.SZ,2016-04-29,3153.537,3171.289,3149.397,3156.745,3160.581,-3.836,-0.001214,58029776.0,70807704.222
79,399300.SZ,2016-05-03,3159.823,3218.485,3151.405,3213.54,3156.745,56.795,0.017991999999999998,98164835.0,115733867.591
80,399300.SZ,2016-05-04,3203.465,3222.882,3198.292,3209.461,3213.54,-4.079,-0.0012690000000000002,90862408.0,97797134.813
81,399300.SZ,2016-05-05,3204.169,3217.282,3196.566,3213.92,3209.461,4.459,0.001389,74733681.0,83946496.908
82,399300.SZ,2016-05-06,3213.136,3216.893,3130.147,3130.354,3213.92,-83.566,-0.026001,108680240.0,119265216.104
83,399300.SZ,2016-05-09,3115.43,3115.43,3055.005,3065.615,3130.354,-64.739,-0.020680999999999998,99230477.0,100409213.4876
84,399300.SZ,2016-05-10,3055.211,3084.724,3055.183,3069.112,3065.615,3.497,0.0011409999999999999,68849935.0,70650764.1472
85,399300.SZ,2016-05-11,3080.636,3102.876,3063.088,3082.808,3069.112,13.696,0.004463,81794258.0,87323408.3417
86,399300.SZ,2016-05-12,3059.383,3095.348,3035.022,3090.137,3082.808,7.329,0.0023769999999999998,78765726.0,81418792.6062
87,399300.SZ,2016-05-13,3081.679,3103.095,3064.691,3074.935,3090.137,-15.202,-0.00492,62629755.0,65850995.6487
88,399300.SZ,2016-05-16,3064.526,3095.555,3053.661,3095.308,3074.935,20.373,0.006626,59461856.0,64405200.0201
89,399300.SZ,2016-05-17,3095.522,3105.201,3073.459,3086.024,3095.308,-9.284,-0.002999,65278125.0,75389385.458
90,399300.SZ,2016-05-18,3071.529,3072.612,3039.461,3068.035,3086.024,-17.989,-0.005829,82715369.0,88458847.1148
91,399300.SZ,2016-05-19,3060.342,3086.977,3058.145,3062.5,3068.035,-5.535,-0.001804,60444166.0,68679060.3921
92,399300.SZ,2016-05-20,3047.777,3078.531,3041.516,3078.218,3062.5,15.718,0.005132,56080842.0,65124251.0921
93,399300.SZ,2016-05-23,3078.515,3098.478,3076.503,3087.222,3078.218,9.004,0.0029249999999999996,59697216.0,70337514.4835
94,399300.SZ,2016-05-24,3083.2441,3083.2571,3052.5905,3063.5556,3087.2225,-23.6669,-0.007665999999999999,58734385.0,61106015.4464
95,399300.SZ,2016-05-25,3079.7486,3089.1022,3054.8697,3059.2259,3063.5556,-4.3297,-0.0014130000000000002,56652803.0,63316562.53
96,399300.SZ,2016-05-26,3056.6,3072.524,3027.444,3064.211,3059.225,4.986,0.0016300000000000002,60392981.0,65985183.9189
97,399300.SZ,2016-05-27,3059.732,3073.756,3052.179,3062.499,3064.211,-1.712,-0.000559,60468750.0,59371777.0794
98,399300.SZ,2016-05-30,3056.313,3075.261,3037.664,3066.709,3062.499,4.21,0.0013750000000000001,63098579.0,63496565.009
99,399300.SZ,2016-05-31,3068.596,3170.926,3068.596,3169.559,3066.709,102.85,0.033538,138863111.0,151398175.9566
100,399300.SZ,2016-06-01,3172.961,3181.792,3159.817,3160.547,3169.559,-9.012,-0.002843,113148482.0,131700821.1521
101,399300.SZ,2016-06-02,3158.025,3168.824,3151.065,3167.099,3160.547,6.552,0.002073,86003427.0,97093625.3449
102,399300.SZ,2016-06-03,3172.946,3201.749,3162.088,3189.325,3167.099,22.226,0.007018,101491783.0,136332027.0872
103,399300.SZ,2016-06-06,3192.779,3197.22,3168.554,3178.788,3189.325,-10.537,-0.003304,76693751.0,101176231.3664
104,399300.SZ,2016-06-07,3182.437,3186.616,3168.179,3177.053,3178.788,-1.735,-0.000546,68928314.0,88711618.4254
105,399300.SZ,2016-06-08,3171.813,3174.971,3148.351,3163.986,3177.053,-13.067,-0.004113,76291775.0,97682790.8611
106,399300.SZ,2016-06-13,3134.045,3145.605,3065.767,3066.341,3163.986,-97.645,-0.030861,92975947.0,114091320.0037
107,399300.SZ,2016-06-14,3058.443,3078.749,3055.655,3075.983,3066.341,9.642,0.003144,66279457.0,78622305.3495
108,399300.SZ,2016-06-15,3043.957,3128.673,3042.232,3116.368,3075.983,40.385,0.013129,87393257.0,106170177.8724
109,399300.SZ,2016-06-16,3104.361,3112.475,3089.477,3094.674,3116.368,-21.694,-0.006961,82974703.0,93496238.8705
110,399300.SZ,2016-06-17,3096.09,3131.048,3096.09,3110.357,3094.674,15.683,0.0050680000000000005,85402985.0,97953389.32
111,399300.SZ,2016-06-20,3114.906,3118.725,3089.712,3112.674,3110.357,2.317,0.000745,63587141.0,74647802.4617
112,399300.SZ,2016-06-21,3124.898,3155.492,3097.94,3106.317,3112.674,-6.357,-0.002042,87965345.0,107233643.6316
113,399300.SZ,2016-06-22,3100.449,3134.06,3096.991,3133.961,3106.317,27.644,0.008899,66487113.0,81348715.8476
114,399300.SZ,2016-06-23,3129.72,3129.72,3102.481,3117.316,3133.961,-16.645,-0.005311,67751738.0,81732552.1588
115,399300.SZ,2016-06-24,3110.646,3130.539,3033.965,3077.155,3117.316,-40.161,-0.012883,104792208.0,118967441.7019
116,399300.SZ,2016-06-27,3065.128,3120.64,3064.966,3120.544,3077.155,43.389,0.0141,83267259.0,104066083.7905
117,399300.SZ,2016-06-28,3107.397,3139.43,3099.701,3136.401,3120.544,15.857,0.005081,92024637.0,117197791.5039
118,399300.SZ,2016-06-29,3142.484,3158.076,3139.132,3151.389,3136.401,14.988,0.004779,103723668.0,117958861.1889
119,399300.SZ,2016-06-30,3152.833,3163.72,3148.198,3153.921,3151.389,2.532,0.000803,79692617.0,100627912.9248
120,399300.SZ,2016-07-01,3156.932,3170.258,3148.294,3154.2,3153.921,0.279,8.800000000000001e-05,71746283.0,91215027.6883
121,399300.SZ,2016-07-04,3136.385,3210.601,3134.023,3204.696,3154.2,50.496,0.016009,133310529.0,149894780.0373
122,399300.SZ,2016-07-05,3199.157,3216.702,3197.995,3207.382,3204.696,2.686,0.000838,130226895.0,143899100.4277
123,399300.SZ,2016-07-06,3197.624,3217.515,3183.451,3216.803,3207.382,9.421,0.0029370000000000004,124897458.0,147232471.496
124,399300.SZ,2016-07-07,3206.55,3220.54,3190.123,3209.954,3216.803,-6.849,-0.0021290000000000002,118595202.0,140488833.675
125,399300.SZ,2016-07-08,3199.754,3204.928,3183.959,3192.28,3209.954,-17.674,-0.005506,89734855.0,111063465.4167
126,399300.SZ,2016-07-11,3199.038,3235.962,3197.625,3203.329,3192.28,11.049,0.003461,138529511.0,155288151.673
127,399300.SZ,2016-07-12,3201.906,3273.473,3200.303,3273.182,3203.329,69.853,0.021806000000000002,172534217.0,190853738.897
128,399300.SZ,2016-07-13,3274.02,3300.991,3271.775,3282.868,3273.182,9.686,0.002959,175196090.0,196592300.3224
129,399300.SZ,2016-07-14,3277.481,3281.95,3259.065,3276.763,3282.868,-6.105,-0.0018599999999999999,107525798.0,128090420.9166
130,399300.SZ,2016-07-15,3278.835,3285.026,3265.29,3276.277,3276.763,-0.486,-0.00014800000000000002,102665026.0,125179812.9291
131,399300.SZ,2016-07-18,3269.707,3281.637,3251.765,3262.022,3276.277,-14.255,-0.004351,110312518.0,129785706.1988
132,399300.SZ,2016-07-19,3260.434,3264.73,3226.198,3248.234,3262.022,-13.788,-0.004227,88886861.0,107108911.1718
133,399300.SZ,2016-07-20,3246.862,3254.507,3232.256,3237.605,3248.234,-10.629,-0.0032719999999999997,72701255.0,91367448.9938
134,399300.SZ,2016-07-21,3238.336,3271.373,3238.303,3252.522,3237.605,14.917,0.004607,86004825.0,107464072.5131
135,399300.SZ,2016-07-22,3251.242,3253.769,3220.893,3225.162,3252.522,-27.36,-0.008412,86029128.0,107416887.3201
136,399300.SZ,2016-07-25,3220.165,3243.79,3218.141,3230.885,3225.162,5.723,0.001774,70203185.0,92015844.0353
137,399300.SZ,2016-07-26,3228.234,3269.745,3228.007,3269.588,3230.885,38.703,0.011979,81051089.0,103745762.7578
138,399300.SZ,2016-07-27,3270.083,3276.511,3157.409,3218.243,3269.588,-51.345,-0.015704,160188665.0,186928366.4982
139,399300.SZ,2016-07-28,3204.464,3235.781,3195.269,3221.136,3218.243,2.893,0.000899,112779964.0,137295892.7533
140,399300.SZ,2016-07-29,3217.192,3225.418,3198.683,3203.93,3221.136,-17.206,-0.005342,88044837.0,103787029.7481
141,399300.SZ,2016-08-01,3196.425,3199.975,3156.748,3176.809,3203.93,-27.121,-0.008465,87003497.0,98818634.3609
142,399300.SZ,2016-08-02,3173.757,3189.052,3165.542,3189.052,3176.809,12.243,0.0038540000000000002,62167639.0,70640763.8419
143,399300.SZ,2016-08-03,3179.684,3197.157,3173.535,3193.507,3189.052,4.455,0.0013969999999999998,72864102.0,79754323.3013
144,399300.SZ,2016-08-04,3190.546,3201.553,3170.418,3201.288,3193.507,7.781,0.002437,73504373.0,86919591.121
145,399300.SZ,2016-08-05,3201.354,3224.873,3192.861,3205.11,3201.288,3.822,0.001194,77196366.0,94429542.3906
146,399300.SZ,2016-08-08,3199.572,3234.479,3187.252,3234.183,3205.11,29.073,0.009071000000000001,86676051.0,102638114.5974
147,399300.SZ,2016-08-09,3232.603,3257.333,3229.174,3256.981,3234.183,22.798,0.007049,91065259.0,105924052.4356
148,399300.SZ,2016-08-10,3255.182,3261.86,3242.75,3243.34,3256.981,-13.641,-0.004188,90430372.0,106157448.0282
149,399300.SZ,2016-08-11,3239.558,3274.026,3232.612,3233.36,3243.34,-9.98,-0.003077,101041213.0,116996159.0463
150,399300.SZ,2016-08-12,3231.806,3294.233,3231.136,3294.233,3233.36,60.873,0.018827,116254044.0,129354686.3871
151,399300.SZ,2016-08-15,3303.468,3417.914,3302.377,3393.423,3294.233,99.19,0.03011,220543421.0,258897463.9096
152,399300.SZ,2016-08-16,3403.383,3418.688,3372.02,3378.245,3393.423,-15.178,-0.0044729999999999995,196389740.0,226785231.0847
153,399300.SZ,2016-08-17,3377.771,3394.388,3356.924,3373.047,3378.245,-5.198,-0.001539,138847688.0,167917530.8558
154,399300.SZ,2016-08-18,3369.947,3394.791,3349.687,3364.485,3373.047,-8.562,-0.0025380000000000003,142380169.0,172256533.0003
155,399300.SZ,2016-08-19,3358.555,3374.045,3341.192,3365.019,3364.485,0.534,0.00015900000000000002,119961508.0,135382706.2928
156,399300.SZ,2016-08-22,3364.681,3372.833,3335.469,3336.794,3365.019,-28.225,-0.008388,107951008.0,128201783.8121
157,399300.SZ,2016-08-23,3332.621,3359.647,3324.96,3341.829,3336.794,5.035,0.0015090000000000001,92924516.0,108503692.3773
158,399300.SZ,2016-08-24,3341.93,3348.129,3323.725,3329.863,3341.829,-11.966,-0.0035809999999999995,81191429.0,94012832.1998
159,399300.SZ,2016-08-25,3314.084,3315.081,3279.806,3308.972,3329.863,-20.891,-0.006273999999999999,100589153.0,112578140.0103
160,399300.SZ,2016-08-26,3312.499,3328.945,3301.735,3307.09,3308.972,-1.882,-0.000569,81530691.0,93213205.5596
161,399300.SZ,2016-08-29,3306.574,3315.078,3297.069,3307.781,3307.09,0.691,0.00020899999999999998,77036333.0,88011642.022
162,399300.SZ,2016-08-30,3310.318,3325.121,3304.596,3311.987,3307.781,4.206,0.0012720000000000001,75725987.0,89513016.6674
163,399300.SZ,2016-08-31,3310.565,3333.972,3304.655,3327.793,3311.987,15.806,0.004772,79570805.0,99215044.4452
164,399300.SZ,2016-09-01,3326.738,3329.345,3301.212,3301.576,3327.793,-26.217,-0.007878,84947219.0,100911462.8227
165,399300.SZ,2016-09-02,3298.721,3320.425,3295.755,3314.114,3301.576,12.538,0.003798,82791803.0,99396378.5835
166,399300.SZ,2016-09-05,3321.005,3338.419,3314.629,3319.68,3314.114,5.566,0.001679,78292477.0,87531089.6452
167,399300.SZ,2016-09-06,3322.018,3347.951,3300.125,3342.625,3319.68,22.945,0.006912000000000001,98283998.0,118366533.4264
168,399300.SZ,2016-09-07,3344.065,3357.356,3337.75,3340.817,3342.625,-1.808,-0.000541,102940106.0,115119908.6169
169,399300.SZ,2016-09-08,3338.008,3343.395,3328.226,3339.564,3340.817,-1.253,-0.000375,71916158.0,83742346.8497
